HH-pol,HV-pol,SM1 (%),Crop Name,label,NDVI,DpRVI,Depolarization_Rate
-8.62748,-16.12485,21.5,Perl Millet,High,0.630662024021149,0.4075350439689847,0.1779356626407055
-10.26128,-17.77907,15.8,Perl Millet,Medium,0.586933135986328,0.40609212460642896,0.17710099451977504
-9.58333,-15.26672,3.8,Fallow,Low,0.278486222028732,0.5476453986618481,0.2701848541713687
-10.80369,-16.14764,23.8,Perl Millet,High,0.376944541931152,0.5760485325059281,0.29214940086264835
-11.40774,-16.74591,2.7,Fallow,Low,0.198129251599312,0.5765366189528585,0.29253847965496305
-10.66648,-18.70679,2.3,Fallow,Low,0.195787832140923,0.37030663302551187,0.1570250715620554
-10.40914,-19.00854,3.8,Fallow,Low,0.325878590345383,0.3344972006797571,0.13805749849108906
-10.64451,-14.9134,4.4,Fallow,Low,0.167082294821739,0.668619136990903,0.3742062182748922
-10.85311,-15.57489,3.03333333333333,Fallow,Low,0.27325102686882,0.6292713221518301,0.337149096358903
-9.77731,-14.99134,14.3,Perl Millet,Medium,0.478957921266556,0.5870520343974123,0.3010211426787685
-9.90516,-15.88723,10.0,Fodder,Medium,0.709269940853119,0.5231271497227498,0.25222782795322235
-7.98585,-13.54009,11.0666666666667,Perl Millet,Medium,0.562979161739349,0.5583893205046184,0.2783402416825335
-11.59984,-15.24045,2.7,Fallow,Low,0.146118715405464,0.723407147872106,0.43245308540731286
-10.15491,-16.6594,1.8,Fallow,Low,0.136590227484703,0.4814927544522912,0.22364078087862274
-10.27771,-15.62443,6.5,Fallow,Low,0.140974968671799,0.5758146717591186,0.291963122691636
-11.41008,-14.18518,4.3,Fallow,Low,0.152822390198708,0.797718723428348,0.527825053020664
-9.99171,-17.71975,4.3,Fallow,Low,0.135310471057892,0.3914280837217329,0.1687314349814759
-9.99353,-17.59457,11.1,Perl Millet,Medium,0.147629797458649,0.4002436553064463,0.17373847294073602
-16.11224,-16.47931,3.4,Fallow,Low,0.133980587124825,0.9779904098430848,0.9189523654374306
-12.40588,-18.25706,3.4,Fallow,Low,0.131847724318504,0.5338127236095319,0.25994531826725414
-10.10306,-20.26867,10.0,Perl Millet,Medium,0.395759731531143,0.24799919853579974,0.09625848010395335
-11.42363,-18.8493,3.5,Fallow,Low,0.131832793354988,0.4126274916920277,0.18089768120819386
-10.27678,-15.48715,24.0,Perl Millet,High,0.480144411325455,0.5873629737761004,0.3012749340118473
-10.50687,-19.34296,9.0,Perl Millet,Medium,0.34310582280159,0.32012220752679127,0.13073473773751648
-9.73199,-20.68956,8.1,Fallow,Medium,0.151427194476128,0.21174110043705593,0.08021267503683045
-4.61541,-16.63832,8.2,Fallow,Medium,0.169403627514839,0.1701958717973589,0.0627637667847495
-5.96827,-17.78609,7.63333333333333,Fallow,Low,0.296022206544876,0.1775870092452718,0.06579880404863585
-8.34858,-15.88976,6.7,Fallow,Low,0.142484799027443,0.4044433852870617,0.1761497373669588
-11.14656,-17.52194,4.5,Fallow,Low,0.126970231533051,0.4916226283238553,0.23038913808102848
-8.52316,-20.67591,7.2,Fallow,Low,0.136832237243652,0.16565899360061745,0.060915105400549875
-10.1982,-20.33198,10.9,Fallow,Medium,0.598399579524994,0.24955813819380962,0.09696656250328406
-8.41919,-16.53362,7.3,Fallow,Low,0.116587676107883,0.36541036357083106,0.15436790138097867
-12.539,-19.59726,3.1,Fallow,Low,0.204411759972572,0.4393458162574773,0.19686748809313145
-9.71709,-19.0863,6.3,Fallow,Low,0.153497740626335,0.2894563399759098,0.11563225630190031
-8.58314,-19.84718,8.2,Fallow,Medium,0.346082657575607,0.19897231232462415,0.07474738436554397
-10.10585,-19.30422,3.1,Fallow,Low,0.153174608945847,0.299025869048748,0.12027157548420703
-8.63957,-17.63755,3.06666666666667,Fallow,Low,0.14590747654438,0.31055971137886146,0.12595111021354455
-11.70591,-19.3558,4.8,Fallow,Low,0.203411519527435,0.396837508443876,0.1717951899641315
