VH-pol,VV-pol,SM1 (%),Crop Name,label,NDVI
-17.8128,-11.856,50.0,Paddy,Very High,0.8786219358444214
-17.84,-10.8665,50.0,Paddy,Very High,0.8637407422065735
-16.2248,-11.2224,50.0,Paddy,Very High,0.8777675032615662
-17.244,-11.0995,50.0,Paddy,Very High,0.8689570426940918
-17.1227,-13.2895,46.8,Paddy,Very High,0.713131308555603
-17.0072,-12.7521,28.7,Paddy,High,0.576815664768219
-16.5502,-12.4274,34.0,Paddy,High,0.1590443700551986
-16.0617,-11.5104,47.5,Paddy,Very High,0.3164905905723572
-16.3776,-12.1246,48.1,Paddy,Very High,0.3478041291236877
-15.9505,-8.437,50.0,Paddy,Very High,0.7250268459320068
-16.2971,-10.7129,21.2,Paddy,Medium,0.7786445617675781
-14.9278,-10.6912,41.8,Paddy,Very High,0.7754200100898743
-16.5709,-9.39141,5.2,Fallow,Low,0.3301617503166199
-15.6177,-8.26266,50.0,Paddy,Very High,0.6946075558662415
-17.2738,-13.5249,35.3,Paddy,High,0.6575729250907898
-16.4653,-9.84929,8.8,Paddy,Low,0.6863504648208618
-15.0107,-8.89665,38.9,Paddy,Very High,0.7060677409172058
-18.9485,-14.8997,19.5,Paddy,Medium,0.7407035231590271
-19.4709,-13.984,15.8,Paddy,Medium,0.6376210451126099
-15.251,-10.2705,50.0,Paddy,Very High,0.8327013254165649
-16.0289,-9.85489,50.0,Paddy,Very High,0.793773353099823
-14.2439,-8.75436,50.0,Paddy,Very High,0.8054787516593933
-15.7696,-8.55854,50.0,Paddy,Very High,0.7921242713928223
-15.859,-10.0176,50.0,Paddy,Very High,0.8345662355422974
-16.564,-10.3042,50.0,Paddy,Very High,0.8351571559906006
-15.5981,-11.894,50.0,Paddy,Very High,0.8222332000732422
-14.7579,-11.1411,50.0,Paddy,Very High,0.7868182063102722
-13.5129,-9.45273,50.0,Paddy,Very High,0.8363377451896667
-15.1237,-11.7383,50.0,Paddy,Very High,0.8347742557525635
-16.5845,-10.7586,50.0,Paddy,Very High,0.8530846238136292
-16.3697,-12.8522,50.0,Paddy,Very High,0.8625169396400452
-16.5367,-12.933,50.0,Paddy,Very High,0.8786442279815674
-15.3391,-9.52251,50.0,Paddy,Very High,0.8476343154907227
-17.0484,-13.09,50.0,Paddy,Very High,0.8750996589660645
-16.3075,-11.4096,50.0,Paddy,Very High,0.8493661284446716
-16.9199,-12.2625,50.0,Paddy,Very High,0.8629213571548462
-15.0295,-11.9198,50.0,Paddy,Very High,0.8497906923294067
-16.7762,-12.24,50.0,Paddy,Very High,0.8250652551651001
-17.8696,-12.3732,50.0,Paddy,Very High,0.8506265878677368
-16.6975,-10.132,50.0,Paddy,Very High,0.8146101832389832
-15.4476,-9.32243,50.0,Paddy,Very High,0.8205655813217163
-14.614,-8.2553,50.0,Paddy,Very High,0.8656527400016785
-16.1613,-10.7937,8.1,Fallow,Low,0.7166408896446228
-14.3331,-9.23066,50.0,Paddy,Very High,0.8428769111633301
-16.1573,-9.74386,3.4,Fallow,Low,0.3080213963985443
-17.8504,-10.1294,5.5,Fallow,Low,0.3059263229370117
-14.403,-9.27909,6.2,Pearl Millet,Low,0.6453933715820312
-14.8398,-9.9953,3.3,Pearl Millet,Low,0.5670151114463806
-15.0003,-8.97852,5.966666666666667,Pearl Millet,Low,0.6333408355712891
-13.9688,-8.1608,9.4,Pearl Millet,Low,0.4254394173622131
-14.9768,-9.90198,6.3,Pearl Millet,Low,0.5477572679519653
-14.1692,-7.83924,11.6,Pearl Millet,Medium,0.3143617808818817
